sleep_hours,energy_level,stress_level,reaction_time_ms,reaction_attempted,label
8.0,3.4,2.4,1283.0,1,1
8.5,4.6,2.8,243.2,1,0
4.9,2.0,3.8,1056.4,1,1
7.3,2.2,4.9,1241.2,1,1
7.8,2.0,1.4,365.5,1,0
8.2,4.3,1.8,286.2,1,0
6.4,3.3,1.8,0.0,0,1
5.0,4.7,1.8,187.5,1,0
6.8,2.6,3.5,1170.7,1,1
6.7,2.3,1.8,814.9,1,1
8.4,3.7,4.3,820.5,1,1
5.7,2.7,2.8,0.0,0,0
6.7,2.7,1.5,200.7,1,0
6.8,2.4,4.3,0.0,0,1
4.5,1.0,4.3,1115.7,1,1
6.7,3.2,4.3,294.3,1,0
4.4,1.5,3.2,874.8,1,1
8.4,3.6,2.4,254.8,1,0
7.5,2.8,1.3,329.4,1,0
5.3,3.6,4.1,219.3,1,0
5.8,1.7,2.6,1068.6,1,1
5.9,3.2,3.3,371.1,1,0
5.3,4.7,3.0,249.4,1,0
7.5,2.5,3.3,325.4,1,0
4.3,3.4,3.1,959.6,1,1
8.0,4.9,2.8,0.0,0,0
4.7,3.0,4.5,358.3,1,0
4.6,2.9,1.7,1205.2,1,1
7.4,2.6,3.5,826.9,1,1
7.5,2.4,2.5,1125.4,1,1
8.2,4.6,1.5,290.8,1,0
6.3,3.0,2.6,766.9,1,1
8.1,3.1,3.7,183.6,1,0
5.4,4.2,3.8,1202.5,1,1
7.4,2.5,4.5,0.0,0,1
7.8,3.7,4.0,987.7,1,1
8.7,1.6,2.9,306.8,1,0
8.7,2.3,1.4,346.2,1,0
4.0,3.5,3.1,838.7,1,1
7.6,3.5,1.7,340.8,1,0
5.5,2.0,3.4,204.4,1,0
4.5,2.6,1.7,834.9,1,1
7.1,2.6,2.5,803.0,1,1
6.2,4.4,3.8,243.4,1,0
4.6,2.4,4.5,0.0,0,1
5.7,3.9,4.0,921.8,1,1
4.6,4.9,2.7,336.5,1,0
5.1,3.0,4.4,299.2,1,0
5.8,3.3,1.9,367.2,1,0
7.2,4.4,2.6,953.8,1,1
